epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.1282,2.1245,4.04171,1.43638,0.68485,0.71468,0.76773,0.43244,1.32469,1.49271,1.04591,0.00032967,0.00032967,0.00032967
2,72.0137,1.38587,1.13601,1.0444,0.68023,0.71998,0.75624,0.25775,2.09229,1.45796,1.37742,0.000649876,0.000649876,0.000649876
3,105.433,1.29605,0.96915,1.02318,0.75188,0.68733,0.74819,0.32042,1.74599,1.26402,1.21855,0.000956882,0.000956882,0.000956882
4,139.844,1.27307,0.90383,1.01477,0.92414,0.88232,0.95435,0.65084,1.05753,0.71656,0.98907,0.0009406,0.0009406,0.0009406
5,173.088,1.24712,0.83974,1.0073,0.81026,0.75625,0.78876,0.27015,2.2349,1.01625,1.41078,0.0009208,0.0009208,0.0009208
6,207.261,1.22154,0.78012,1.00035,0.75246,0.71155,0.69252,0.15463,2.85489,1.12809,1.73509,0.000901,0.000901,0.000901
7,240.929,1.14857,0.74233,0.98674,0.86113,0.81162,0.83817,0.24286,2.48133,0.95665,1.55111,0.0008812,0.0008812,0.0008812
8,274.845,1.1547,0.72282,0.97829,0.94623,0.91569,0.9617,0.50356,1.49733,0.69408,1.11042,0.0008614,0.0008614,0.0008614
9,308.445,1.10797,0.69993,0.9719,0.94909,0.93124,0.9752,0.65702,1.06629,0.56771,0.97204,0.0008416,0.0008416,0.0008416
10,342.203,1.11749,0.68927,0.97323,0.96258,0.91507,0.97496,0.62755,1.15698,0.59094,1.01064,0.0008218,0.0008218,0.0008218
11,376.22,1.07367,0.65499,0.96153,0.85386,0.83103,0.83753,0.2254,2.55876,0.95062,1.58649,0.000802,0.000802,0.000802
12,409.111,1.11488,0.65434,0.97007,0.8961,0.85525,0.87931,0.318,2.2067,0.7993,1.40043,0.0007822,0.0007822,0.0007822
13,443.051,1.05304,0.62201,0.95012,0.96891,0.94574,0.98273,0.59185,1.33371,0.58022,1.05172,0.0007624,0.0007624,0.0007624
14,476.491,1.05148,0.60535,0.95187,0.96783,0.93462,0.98219,0.60668,1.31112,0.5702,1.03403,0.0007426,0.0007426,0.0007426
15,510.53,0.99808,0.59404,0.941,0.96592,0.94554,0.98303,0.68501,0.98451,0.48718,0.95658,0.0007228,0.0007228,0.0007228
16,544.575,1.07466,0.59881,0.95691,0.9792,0.96215,0.98976,0.73575,0.89667,0.44035,0.93538,0.000703,0.000703,0.000703
17,578.174,1.01317,0.57527,0.94228,0.97441,0.9674,0.99061,0.76337,0.80549,0.41418,0.91015,0.0006832,0.0006832,0.0006832
18,612.175,1.02185,0.56511,0.94296,0.97101,0.95904,0.98361,0.55563,1.46926,0.54694,1.08005,0.0006634,0.0006634,0.0006634
19,645.36,0.98515,0.55049,0.93766,0.97379,0.96082,0.98818,0.67653,1.05424,0.46515,0.96382,0.0006436,0.0006436,0.0006436
20,679.364,0.98797,0.54904,0.93155,0.96926,0.946,0.97926,0.45923,1.87773,0.63995,1.24113,0.0006238,0.0006238,0.0006238
21,712.933,0.97296,0.55109,0.93629,0.97686,0.962,0.98889,0.63274,1.24837,0.49525,1.01481,0.000604,0.000604,0.000604
22,746.882,0.97738,0.54327,0.93541,0.97571,0.96691,0.99043,0.67293,1.09962,0.46938,0.97281,0.0005842,0.0005842,0.0005842
23,781.795,0.96539,0.52737,0.92591,0.9858,0.9794,0.99305,0.78211,0.78211,0.37953,0.90042,0.0005644,0.0005644,0.0005644
24,816.019,0.93504,0.51469,0.92723,0.98161,0.97196,0.99182,0.66735,1.14979,0.4501,0.98562,0.0005446,0.0005446,0.0005446
25,850.274,0.91497,0.5058,0.91818,0.98623,0.96013,0.99078,0.59572,1.38067,0.5053,1.04816,0.0005248,0.0005248,0.0005248
26,883.604,0.92522,0.51146,0.92269,0.98656,0.973,0.99307,0.75657,0.86519,0.39384,0.92121,0.000505,0.000505,0.000505
27,917.88,0.93798,0.51505,0.92362,0.98193,0.97265,0.99265,0.70901,0.98233,0.41849,0.94125,0.0004852,0.0004852,0.0004852
28,951.098,0.93813,0.50974,0.92277,0.99226,0.97609,0.99303,0.63019,1.28015,0.45827,1.02156,0.0004654,0.0004654,0.0004654
29,985.089,0.93378,0.501,0.92528,0.98815,0.97863,0.99343,0.62372,1.32087,0.46527,1.0247,0.0004456,0.0004456,0.0004456
30,1018.81,0.92143,0.48679,0.91528,0.9849,0.97265,0.99084,0.58917,1.41671,0.49079,1.05839,0.0004258,0.0004258,0.0004258
31,1052.92,0.8749,0.47235,0.90828,0.98466,0.97806,0.99335,0.72449,0.95266,0.39977,0.93004,0.000406,0.000406,0.000406
32,1087.24,0.87166,0.47595,0.90748,0.9858,0.98335,0.99376,0.71763,0.98967,0.3993,0.93878,0.0003862,0.0003862,0.0003862
33,1121.43,0.85566,0.46108,0.90281,0.98592,0.9633,0.99112,0.63227,1.22065,0.45943,1.00758,0.0003664,0.0003664,0.0003664
